indID,name,units
_m49-name,m49-name,string
CG060,m49-num,string
PVX040,"Incidence of Conflict","incidents per year"
PVX010,"GNA Vulnerability Index",index
PVX020,"GNA Crisis Index",index
CH070,"Number of disasters",uno
CH080,"People killed in disasters",uno
_emdat:no_injured,"People injured in disasters",uno
CH090,"People affected by disasters",uno
_emdat:no_homeless,"People made homeless by disasters",uno
_emdat:total_affected,"Total number of people affected by disasters",uno
CH100,"Total cost of damage done by disasters",",000$ USD"
_WPP2012_MORT_F02_CRUDE_DEATH_RATE,WPP2012_MORT_F02_CRUDE_DEATH_RATE,""
PVH050,WPP2012_MORT_F03_1_DEATHS_BOTH_SEXES,""
PVH100,WPP2012_MORT_F01_2_Q5_BOTH_SEXES,""
PVH010,WPP2012_MORT_F07_1_LIFE_EXPECTANCY_0_BOTH_SEXES,""
PVH150,WPP2012_MORT_F01_1_IMR_BOTH_SEXES,""
PSP100,WUP2011-F02-Proportion_Urban,""
PSP010,WPP2012_POP_F01_1_TOTAL_POPULATION_BOTH_SEXES,""
PSP050,WPP2012_POP_F02_POPULATION_GROWTH_RATE,""
PSP070,WPP2012_POP_F05_MEDIAN_AGE,""
PSP080,WPP2012_POP_F06_POPULATION_DENSITY,""
PVN010,"Prevalence of undernourishment",percentage
PVF020,"Per capita food supply",kcal/capita/day
PVX060,"Impact of natural disasters: number of deaths","per million people per year"
PSE220,"Human Development Index rank",""
PSE110," GNI per capita in PPP terms (constant 2005 international $) ","Constant 2005 international $"
PSE160," MPI: Population living below $1.25 PPP per day ",%
_HDR:68606," GII: Gender Inequality Index, value ",""
PVH180," Maternal mortality ratio ","deaths of women per100,000 live births"
PVE040," Adult literacy rate, both sexes ","% aged 15 and above"
PVX070," Impact of natural disasters: population affected (average per year/million) ","average per year per million people"
PVH120," Under-five mortality ","per 1,000 live births"
PVE010," Public expenditure on education (% of GDP) ",%
PVE030," Expected Years of Schooling (of children) ",years
PVE110," Mean years of schooling (of adults) ",years
PVE120," Combined gross enrolment in education (both sexes) ",%
"_Population undernourished, percentage","Population undernourished",percentage
"_Children 1 year old immunized against measles, percentage","Children 1 year old immunized against measles",percentage
PVW010,"Proportion of the population using improved drinking water sources",total
PVW040,"Proportion of the population using improved sanitation facilities",total
PVH190,"","Maternal mortality ratio per 100,000 live births"
PVH140,"","Children under five mortality rate per 1,000 live births"
PVE130,"Total net enrolment ratio in primary education","both sexes"
PVN050,"Children under 5 moderately or severely underweight",percentage
PCX080,"Fixed telephone lines per 100 inhabitants",""
PCX051,"Mobile cellular subscriptions per 100 inhabitants",""
PCX070,"Internet users per 100 population",""
"_Population undernourished, millions","Population undernourished",millions
PCH090,"Routine EPI vaccines financed by government",%
"_% of routine EPI vaccines financed by government","% of routine EPI vaccines financed by government",""
CG140,"ISO Currency Code",""
CG290,"Date of Entry into UN",""
"_unterm:ISO Country alpha-2-code","ISO Country alpha-2-code",""
CG020,"Formal Name",""
CG080,"Capital City",""
CG120,"Currency Abbr.",""
CG070,"ISO Country alpha-3-code",""
CG100,Languages,""
CG030,"Short Name",""
CG260,"AccuWeather URL",""
CG150,"Income Category",""
"_Land area (sq. km)","Land area ","sq. km"
"_Net ODA received per capita (current US$)","Net ODA received per capita ","current US$"
"_Access to electricity (% of population)","Access to electricity ","% of population"
PSP090,"Population density ","people per sq. km of land area"
PSP110,"Population in urban agglomerations of more than 1 million",uno
PSE200,"Inflation, consumer prices ","annual %"
PVL030,"Roads, total network ",km
PVL040,"Rail lines ","total route-km"
PCX090,"Mobile cellular subscriptions ","per 100 people"
PCX100,"Internet users ","per 100 people"
PCX130,"Logistics performance index: Overall ","1=low to 5=high"
PSE130,"Household final consumption expenditure, PPP ","constant 2005 international $"
PSE030,"GDP per capita, PPP ","current international $"
PSE120,"GNI ","current US$"
"_GNI, PPP (current international $)","GNI, PPP ","current international $"
PSE090,"GNI per capita, PPP ","current international $"
"_Number of infant deaths","Number of infant deaths",uno
PSE170,"Poverty headcount ratio at $1.25 a day (PPP) ","% of population"
PSE210,"GINI index",uno
"_International migrant stock (% of population)","International migrant stock ","% of population"
PVH080,"Mortality rate, adult, female ","per 1,000 female adults"
PVH090,"Mortality rate, adult, male ","per 1,000 male adults"
PSE140,"Age dependency ratio, old ","% of working-age population"
PSE150,"Age dependency ratio, young ","% of working-age population"
PSP060,"Population growth ","annual %"
"_Population, total","Population, total",uno
CD010,"Wikipedia: geography",url
CD030,"Wikipedia: climate",url
CD050,"Wikipedia: economy",url
CD060,"Wikipedia: transport",url
CD070,"Wikipedia: education",url
CD080,"Wikipedia: demographics",url
CD090,"Wikipedia: religion",url
PVL010,"Number of airports",count
